Year,JAN,RAIN DAYS,Total Days,FEB,RAIN DAYS,Total Days,MAR,RAIN DAYS,Total Days,APRIL,RAIN DAYS,Total Days,MAY,RAIN DAYS,Total Days,JUN,RAIN DAYS,Total Days,JULY,RAIN DAYS,Total Days,AUG,RAIN DAYS,Total Days,SEP,RAIN DAYS,Total Days,OCT,RAIN DAYS,Total Days,NOV,RAIN DAYS,Total Days,DEC,RAIN DAYS,Total Days
1978,0.7,1,31,0.4,2,28,0.1,0,31,-0.2,1,30,-0.3,3,31,-0.3,15,30,-0.4,10,31,-0.4,15,31,-0.4,10,30,-0.3,15,31,-0.1,12,30,0,4,31
1979,0,3,31,0.1,1,28,0.2,4,31,0.3,2,30,0.2,2,31,0,3,30,0,8,31,0.2,10,31,0.3,11,30,0.5,17,31,0.5,8,30,0.6,7,31
1980,0.6,1,31,0.5,6,29,0.3,5,31,0.4,3,30,0.5,12,31,0.5,11,30,0.3,12,31,0,14,31,-0.1,17,30,0,13,31,0.1,12,30,0,5,31
1981,-0.3,6,31,-0.5,1,28,-0.5,1,31,-0.4,6,30,-0.3,5,31,-0.3,10,30,-0.3,15,31,-0.2,18,31,-0.2,12,30,-0.1,12,31,-0.2,10,30,-0.1,7,31
1982,0,3,31,0.1,8,28,0.2,0,31,0.5,0,30,0.7,9,31,0.7,8,30,0.8,16,31,1.1,10,31,1.6,15,30,2,12,31,2.2,9,30,2.2,6,31
1983,2.2,1,31,1.9,0,28,1.5,3,31,1.3,0,30,1.1,3,31,0.7,1,30,0.3,10,31,-0.1,13,31,-0.5,7,30,-0.8,15,31,-1,14,30,-0.9,4,31
1984,-0.6,3,31,-0.4,4,29,-0.3,4,31,-0.4,1,30,-0.5,5,31,-0.4,8,30,-0.3,8,31,-0.2,16,31,-0.2,14,30,-0.6,10,31,-0.9,10,30,-1.1,5,31
1985,-1,6,31,-0.8,2,28,-0.8,4,31,-0.8,5,30,-0.8,12,31,-0.6,7,30,-0.5,9,31,-0.5,13,31,-0.4,18,30,-0.3,11,31,-0.3,4,30,-0.4,9,31
1986,-0.5,0,31,-0.5,5,28,-0.3,3,31,-0.2,4,30,-0.1,8,31,0,8,30,0.2,10,31,0.4,18,31,0.7,10,30,0.9,10,31,1.1,5,30,1.2,8,31
1987,1.2,2,31,1.2,5,28,1.1,0,31,0.9,1,30,1,0,31,1.2,5,30,1.5,11,31,1.7,12,31,1.6,5,30,1.5,10,31,1.3,11,30,1.1,7,31
1988,0.8,6,31,0.5,0,29,0.1,0,31,-0.3,2,30,-0.9,3,31,-1.3,9,30,-1.3,14,31,-1.1,13,31,-1.2,10,30,-1.5,15,31,-1.8,9,30,-1.8,2,31
1989,-1.7,7,31,-1.4,11,28,-1.1,1,31,-0.8,5,30,-0.6,7,31,-0.4,7,30,-0.3,16,31,-0.3,13,31,-0.2,12,30,-0.2,11,31,-0.2,7,30,-0.1,4,31
1990,0.1,7,31,0.2,1,28,0.3,0,31,0.3,3,30,0.3,4,31,0.3,11,30,0.3,12,31,0.4,16,31,0.4,14,30,0.3,10,31,0.4,11,30,0.4,6,31
1991,0.4,4,31,0.3,4,28,0.2,2,31,0.3,6,30,0.5,7,31,0.6,9,30,0.7,9,31,0.6,15,31,0.6,13,30,0.8,8,31,1.2,9,30,1.5,5,31
1992,1.7,6,31,1.6,1,29,1.5,1,31,1.3,1,30,1.1,2,31,0.7,6,30,0.4,12,31,0.1,17,31,-0.1,8,30,-0.2,13,31,-0.3,8,30,-0.1,0,31
1993,0.1,1,31,0.3,2,28,0.5,1,31,0.7,1,30,0.7,1,31,0.6,0,30,0.3,8,31,0.3,15,31,0.2,10,30,0.1,9,31,0,9,30,0.1,8,31
1994,0.1,4,31,0.1,3,28,0.2,5,31,0.3,4,30,0.4,8,31,0.4,5,30,0.4,14,31,0.4,7,31,0.6,17,30,0.7,8,31,1,0,30,1.1,5,31
1995,1,2,31,0.7,1,28,0.5,2,31,0.3,5,30,0.1,7,31,0,6,30,-0.2,8,31,-0.5,16,31,-0.8,16,30,-1,14,31,-1,11,30,-1,10,31
1996,-0.9,9,31,-0.8,9,29,-0.6,4,31,-0.4,4,30,-0.3,5,31,-0.3,6,30,-0.3,13,31,-0.3,9,31,-0.4,16,30,-0.4,9,31,-0.4,15,30,-0.5,8,31
1997,-0.5,9,31,-0.4,3,28,-0.1,1,31,0.3,5,30,0.8,1,31,1.2,12,30,1.6,12,31,1.9,23,31,2.1,8,30,2.3,10,31,2.4,7,30,2.4,4,31
1998,2.2,1,31,1.9,0,28,1.4,1,31,1,1,30,0.5,2,31,-0.1,4,30,-0.8,4,31,-1.1,10,31,-1.3,21,30,-1.4,11,31,-1.5,8,30,-1.6,3,31
1999,-1.5,7,31,-1.3,5,28,-1.1,1,31,-1,4,30,-1,5,31,-1,11,30,-1.1,15,31,-1.1,10,31,-1.2,13,30,-1.3,15,31,-1.5,7,30,-1.7,4,31
2000,-1.7,4,31,-1.4,7,29,-1.1,5,31,-0.8,0,30,-0.7,7,31,-0.6,5,30,-0.6,11,31,-0.5,18,31,-0.5,13,30,-0.6,16,31,-0.7,9,30,-0.7,10,31
2001,-0.7,3,31,-0.5,5,28,-0.4,3,31,-0.3,0,30,-0.3,3,31,-0.1,13,30,-0.1,15,31,-0.1,16,31,-0.2,9,30,-0.3,8,31,-0.3,12,30,-0.3,8,31
2002,-0.1,7,31,0,6,28,0.1,3,31,0.2,1,30,0.4,6,31,0.7,9,30,0.8,20,31,0.9,17,31,1,10,30,1.2,7,31,1.3,10,30,1.1,7,31
2003,0.9,3,31,0.6,2,28,0.4,4,31,0,6,30,-0.3,4,31,-0.2,6,30,0.1,13,31,0.2,12,31,0.3,16,30,0.3,11,31,0.4,15,30,0.4,13,31
2004,0.4,4,31,0.3,8,29,0.2,6,31,0.2,5,30,0.2,5,31,0.3,15,30,0.5,12,31,0.6,20,31,0.7,8,30,0.7,11,31,0.7,13,30,0.7,5,31
2005,0.6,1,31,0.6,5,28,0.4,2,31,0.4,4,30,0.3,2,31,0.1,8,30,-0.1,9,31,-0.1,13,31,-0.1,20,30,-0.3,15,31,-0.6,7,30,-0.8,6,31
2006,-0.8,7,31,-0.7,4,28,-0.5,0,31,-0.3,1,30,0,3,31,0,8,30,0.1,18,31,0.3,11,31,0.5,9,30,0.7,18,31,0.9,7,30,0.9,7,31
2007,0.7,5,31,0.3,2,28,0,3,31,-0.2,3,30,-0.3,10,31,-0.4,2,30,-0.5,9,31,-0.8,15,31,-1.1,13,30,-1.4,14,31,-1.5,14,30,-1.6,3,31
2008,-1.6,2,31,-1.4,8,29,-1.2,2,31,-0.9,3,30,-0.8,1,31,-0.5,7,30,-0.4,11,31,-0.3,8,31,-0.3,18,30,-0.4,9,31,-0.6,10,30,-0.7,4,31
2009,-0.8,2,31,-0.7,2,28,-0.5,5,31,-0.2,4,30,0.1,3,31,0.4,7,30,0.5,13,31,0.5,17,31,0.7,14,30,1,14,31,1.3,5,30,1.6,6,31
2010,1.5,6,31,1.3,1,28,0.9,6,31,0.4,4,30,-0.1,0,31,-0.6,6,30,-1,15,31,-1.4,18,31,-1.6,16,30,-1.7,13,31,-1.7,6,30,-1.6,4,31
2011,-1.4,11,31,-1.1,6,28,-0.8,5,31,-0.6,4,30,-0.5,8,31,-0.4,13,30,-0.5,18,31,-0.7,17,31,-0.9,14,30,-1.1,16,31,-1.1,10,30,-1,8,31
2012,-0.8,8,31,-0.6,1,29,-0.5,5,31,-0.4,3,30,-0.2,11,31,0.1,9,30,0.3,8,31,0.3,16,31,0.3,16,30,0.2,11,31,0,3,30,-0.2,3,31
2013,-0.4,8,31,-0.3,4,28,-0.2,5,31,-0.2,0,30,-0.3,4,31,-0.3,11,30,-0.4,7,31,-0.4,14,31,-0.3,17,30,-0.2,15,31,-0.2,7,30,-0.3,7,31
2014,-0.4,9,31,-0.4,5,28,-0.2,6,31,0.1,3,30,0.3,3,31,0.2,10,30,0.1,16,31,0,12,31,0.2,14,30,0.4,12,31,0.6,8,30,0.7,4,31
2015,0.6,10,31,0.6,0,28,0.6,4,31,0.8,9,30,1,8,31,1.2,4,30,1.5,11,31,1.8,14,31,2.1,12,30,2.4,10,31,2.5,5,30,2.6,4,31
2016,2.5,2,31,2.2,3,29,1.7,2,31,1,1,30,0.5,2,31,0,5,30,-0.3,5,31,-0.6,13,31,-0.7,15,30,-0.7,14,31,-0.7,10,30,-0.6,7,31
2017,-0.3,6,31,-0.1,5,28,0.1,6,31,0.3,8,30,0.4,1,31,0.4,9,30,0.2,8,31,-0.1,12,31,-0.4,11,30,-0.7,14,31,-0.9,4,30,-1,6,31
2018,-0.9,0,31,-0.8,4,28,-0.6,2,31,-0.4,10,30,-0.1,5,31,0.1,8,30,0.1,12,31,0.2,14,31,0.4,17,30,0.7,15,31,0.9,4,30,0.8,9,31
