Date,Max,Min,Average,Precipitation
10/30/1947,89,77,83,0.12
10/31/1947,86,78,82,0.21
11/1/1947,87,79,83,0.15
11/2/1947,85,78,81.5,0.25
11/3/1947,83,75,79,1.2
11/4/1947,86,77,81.5,0.4
11/5/1947,87,79,83,T
11/6/1947,88,76,82,0.24
11/7/1947,85,77,81,0.63
11/8/1947,86,75,80.5,2.23
11/9/1947,86,76,81,0.48
11/10/1947,87,79,83,T
11/11/1947,87,78,82.5,0.04
11/12/1947,87,78,82.5,0.12
11/13/1947,87,80,83.5,T
11/14/1947,88,80,84,T
11/15/1947,87,79,83,0
11/16/1947,87,77,82,0.34
11/17/1947,87,78,82.5,1.58
11/18/1947,84,79,81.5,0.44
11/19/1947,87,77,82,0.17
11/20/1947,87,76,81.5,0.1
11/21/1947,86,78,82,T
11/22/1947,86,78,82,T
11/23/1947,87,78,82.5,0.04
11/24/1947,87,77,82,0.7
11/25/1947,84,78,81,0.73
11/26/1947,87,78,82.5,0.09
11/27/1947,88,80,84,0.1
11/28/1947,86,79,82.5,0
11/29/1947,87,78,82.5,0.17
11/30/1947,87,76,81.5,0.24
12/1/1947,86,78,82,0
12/2/1947,87,78,82.5,T
12/3/1947,87,77,82,0.08
12/4/1947,86,78,82,0.03
12/5/1947,86,78,82,0.15
12/6/1947,86,79,82.5,0.29
12/7/1947,86,77,81.5,0.34
12/8/1947,86,77,81.5,0.16
12/9/1947,86,78,82,0.05
12/10/1947,85,75,80,0.18
12/11/1947,86,78,82,0.07
12/12/1947,87,78,82.5,0.08
12/13/1947,87,78,82.5,T
12/14/1947,86,78,82,T
12/15/1947,85,78,81.5,0.18
12/16/1947,87,77,82,0.09
12/17/1947,87,77,82,0.18
12/18/1947,87,77,82,0.33
12/19/1947,86,78,82,0.15
12/20/1947,86,77,81.5,T
12/21/1947,83,77,80,0.29
12/22/1947,81,77,79,1.4
12/23/1947,84,77,80.5,0.34
12/24/1947,85,78,81.5,T
12/25/1947,86,78,82,0.04
12/26/1947,84,78,81,0.13
12/27/1947,85,78,81.5,0.16
12/28/1947,85,78,81.5,0.44
12/29/1947,85,78,81.5,0.12
12/30/1947,87,77,82,0
12/31/1947,85,78,81.5,0.01
1/1/1948,84,78,81,0.39
1/2/1948,85,77,81,0.07
1/3/1948,86,76,81,0.52
1/4/1948,85,76,80.5,0.51
1/5/1948,84,75,79.5,T
1/6/1948,87,77,82,0.04
1/7/1948,85,78,81.5,T
1/8/1948,86,77,81.5,0.07
1/9/1948,87,77,82,0.02
1/10/1948,86,78,82,0
1/11/1948,85,76,80.5,0.5
1/12/1948,80,75,77.5,1.47
1/13/1948,82,76,79,0.29
1/14/1948,84,77,80.5,0.03
1/15/1948,82,76,79,2.15
1/16/1948,86,77,81.5,0.02
1/17/1948,86,76,81,0
1/18/1948,86,78,82,0
1/19/1948,85,76,80.5,0.03
1/20/1948,84,77,80.5,0.45
1/21/1948,84,75,79.5,0.01
1/22/1948,83,76,79.5,0.27
1/23/1948,85,77,81,0.12
1/24/1948,85,78,81.5,0.1
1/25/1948,85,75,80,0.09
1/26/1948,85,77,81,0.16
1/27/1948,85,75,80,0.07
1/28/1948,84,76,80,0.54
1/29/1948,86,77,81.5,0.09
1/30/1948,84,75,79.5,0.1
1/31/1948,82,76,79,0.14
2/1/1948,84,74,79,T
2/2/1948,83,75,79,0.39
2/3/1948,84,76,80,0
2/4/1948,84,75,79.5,0.05
2/5/1948,85,76,80.5,0.03
2/6/1948,85,75,80,T
2/7/1948,85,75,80,0.09
2/8/1948,82,76,79,0.09
2/9/1948,85,75,80,0.13
2/10/1948,84,75,79.5,0.01
